SalesHistory
Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DealNumber,ContractDate,DeliveryDate,DealStatus,Comments,InventoryType,StockNumber,VIN,VehicleMake,VehicleModel,VehicleModelYear,VehicleSalePrice,TotalGrossProfit,BackEndGrossProfit,FrontEndGrossProfit,APR,ContractTerm,MonthlyPayment,BuyerID,BuyerBirthDate,BuyerHomeAddressCity,BuyerHomeAddressState,BuyerHomeAddressPostalCode,SalesPersonID,SalesPerson2ID,Trade1_StockNumber,Trade1_VIN,Trade1_Year,Trade1_Make,Trade1_Model,Trade2_VIN,Trade2_Year,Trade2_Make,Trade2_Model
10029,1/12/11 0:00,1/12/11 0:00,F,,U,K175A,2T2HK31U49C118454,Lexus,RX 350,2009,36500,4985.75,200,4785.75,2.9,60,520.07,10017,11/7/53 0:00,Ocean View,DE,199704516,5283,,K175B,YV1CM59H331013308,2003,Volvo,XC90,,,,
10035,1/10/11 0:00,1/10/11 0:00,F,,U,K190A,JTHCE96S580017706,Lexus,GS 350,2008,34995,3028.39,0,3028.39,,,,10011,,South Bend,IN,466149383,2995,,K190B,1FTWW31P95EB23344,2005,Ford,F-350,,,,
10036,1/11/11 0:00,1/11/11 0:00,F,,N,K205,JTHDL5EF0B5003231,Lexus,LS 460,2011,82150,6481,0,6481,,,,10015,,Bremen,IN,465061850,4692,,K205A,JTHBL46F385052674,2008,Lexus,LS 460,,,,
10037,1/14/11 0:00,1/14/11 0:00,F,,N,K210,JTJBK1BA2B2013626,Lexus,RX 350,2011,42921,3087,0,3087,,,,504383,12/27/44 0:00,Granger,IN,465308309,2995,,K210A,1HGCD5666SA119678,1995,Honda,Accord,,,,
10057,1/14/11 0:00,1/14/11 0:00,F,,U,L1112,JTJHK31U082048420,Lexus,RX 350,2008,31888,3461.87,0,3461.87,,,,10022,11/30/33 0:00,Elkhart,IN,465146138,4692,,L1112A,1FMDU34X1VUC98892,1997,Ford,Explorer,,,,
10059,1/14/11 0:00,1/14/11 0:00,F,,U,L1090A,1NXBR32E55Z545986,Toyota,Corolla,2005,10719,3755.17,0,3755.17,,,,10024,12/9/44 0:00,Elkhart,IN,465146068,6733,,,,,,,,,,
10060,1/14/11 0:00,1/14/11 0:00,F,,N,K130,2T2BK1BA7BC087463,Lexus,RX 350,2011,45921,2157.19,241.48,1915.71,2.9,48,539.9,10025,7/5/39 0:00,Saint Joseph,MI,490853438,4692,,K130A,2T2HK31U08C049602,2008,Lexus,RX 350,,,,
10067,1/17/11 0:00,1/17/11 0:00,F,,U,K205A,JTHBL46F385052674,Lexus,LS 460,2008,43995,5988.73,612.36,5376.37,3.9,72,781.55,10027,12/29/52 0:00,Wanatah,IN,46390,4692,,K205B,JTHCE96S570011550,2007,Lexus,GS 350,,,,
10068,1/17/11 0:00,1/17/11 0:00,F,,U,L1116,JTJBT20X780158790,Lexus,GX 470,2008,42000,4825.26,150,4675.26,2.9,60,372.26,723231,11/23/68 0:00,Edwardsburg,MI,491128449,2995,,L1116A,WA1EY74L57D059909,2007,Audi,Q7,,,,
10072,1/18/11 0:00,1/18/11 0:00,F,,U,J635C,2T2HA31U36C108786,Lexus,RX 330,2006,26995,4128.71,508.05,3620.66,3.9,60,463.67,10028,3/15/80 0:00,South Bend,IN,466141605,6733,,J635D,3N1CB51D94L836617,2004,Nissan,Sentra,,,,
