DealNumber,ContractDate,InventoryType,VIN,VehicleMake,VehicleModel,VehicleModelYear,VehicleSalePrice,TotalGrossProfit,BackEndGrossProfit,FrontEndGrossProfit,ContractTerm,BuyerHomeAddressCity,BuyerHomeAddressState,BuyerHomeAddressPostalCode,Trade1_VIN,Trade1_Year,Trade1_Make,Trade1_Model,Trade2_VIN,Trade2_Year,Trade2_Make,Trade2_Model
10029,2011-01-12,U,2T2HK31U49C118454,Lexus,RX 350,2009,36500.0,4985.75,200.0,4785.75,60.0,Ocean View,DE,199704516,YV1CM59H331013308,2003.0,Volvo,XC90,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10035,2011-01-10,U,JTHCE96S580017706,Lexus,GS 350,2008,34995.0,3028.39,0.0,3028.39,1.0,South Bend,IN,466149383,1FTWW31P95EB23344,2005.0,Ford,F-350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10036,2011-01-11,N,JTHDL5EF0B5003231,Lexus,LS 460,2011,82150.0,6481.0,0.0,6481.0,1.0,Bremen,IN,465061850,JTHBL46F385052674,2008.0,Lexus,LS 460,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10037,2011-01-14,N,JTJBK1BA2B2013626,Lexus,RX 350,2011,42921.0,3087.0,0.0,3087.0,1.0,Granger,IN,465308309,1HGCD5666SA119678,1995.0,Honda,Accord,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10057,2011-01-14,U,JTJHK31U082048420,Lexus,RX 350,2008,31888.0,3461.87,0.0,3461.87,1.0,Elkhart,IN,465146138,1FMDU34X1VUC98892,1997.0,Ford,Explorer,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10059,2011-01-14,U,1NXBR32E55Z545986,Toyota,Corolla,2005,10719.0,3755.17,0.0,3755.17,1.0,Elkhart,IN,465146068,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10060,2011-01-14,N,2T2BK1BA7BC087463,Lexus,RX 350,2011,45921.0,2157.19,241.48,1915.71,48.0,Saint Joseph,MI,490853438,2T2HK31U08C049602,2008.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10067,2011-01-17,U,JTHBL46F385052674,Lexus,LS 460,2008,43995.0,5988.73,612.36,5376.37,72.0,Wanatah,IN,46390,JTHCE96S570011550,2007.0,Lexus,GS 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10068,2011-01-17,U,JTJBT20X780158790,Lexus,GX 470,2008,42000.0,4825.26,150.0,4675.26,60.0,Edwardsburg,MI,491128449,WA1EY74L57D059909,2007.0,Audi,Q7,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10072,2011-01-18,U,2T2HA31U36C108786,Lexus,RX 330,2006,26995.0,4128.71,508.05,3620.66,60.0,South Bend,IN,466141605,3N1CB51D94L836617,2004.0,Nissan,Sentra,Not Applicable,Not Applicable,Not Applicable,Not Applicable
