ContractYearMonth,TotalSales
2004-06,37
2004-07,35
2004-08,60
2004-09,44
2004-10,58
2004-11,35
2004-12,56
2005-01,34
2005-02,35
2005-03,42
2005-04,55
2005-05,54
2005-06,58
2005-07,64
2005-08,76
2005-09,49
2005-10,46
2005-11,52
2005-12,66
2006-01,35
2006-02,56
2006-03,64
2006-04,47
2006-05,62
2006-06,51
2006-07,60
2006-08,60
2006-09,49
2006-10,56
2006-11,48
2006-12,70
2007-01,36
2007-02,27
2007-03,61
2007-04,56
2007-05,68
2007-06,60
2007-07,71
2007-08,61
2007-09,48
2007-10,68
2007-11,41
2007-12,71
2008-01,27
2008-02,29
2008-03,64
2008-04,38
2008-05,75
2008-06,37
2008-07,46
2008-08,51
2008-09,44
2008-10,43
2008-11,29
2008-12,43
2009-01,21
2009-02,23
2009-03,38
2009-04,34
2009-05,45
2009-06,26
2009-07,52
2009-08,46
2009-09,40
2009-10,36
2009-11,30
2009-12,54
2010-01,37
2010-02,29
2010-03,43
2010-04,41
2010-05,46
2010-06,58
2010-07,48
2010-08,43
2010-09,40
2010-10,47
2010-11,25
2010-12,55
2011-01,27
2011-02,29
2011-03,33
2011-04,44
2011-05,38
2011-06,37
2011-07,31
2011-08,51
2011-09,28
2011-10,49
2011-11,25
2011-12,53
2012-01,23
2012-02,36
2012-03,41
2012-04,43
2012-05,45
2012-06,57
2012-07,30
2012-08,58
2012-09,31
2012-10,35
2012-11,39
2012-12,51
2013-01,32
2013-02,31
2013-03,40
2013-04,42
2013-05,42
2013-06,45
2013-07,41
2013-08,62
2013-09,39
2013-10,44
2013-11,30
2013-12,63
2014-01,23
2014-02,36
2014-03,44
2014-04,39
2014-05,57
2014-06,39
2014-07,38
2014-08,59
2014-09,36
2014-10,43
2014-11,40
2014-12,57
2015-01,29
2015-02,23
2015-03,43
2015-04,46
2015-05,38
2015-06,48
2015-07,39
2015-08,56
2015-09,45
2015-10,42
2015-11,31
2015-12,61
2016-01,35
2016-02,36
2016-03,58
2016-04,29
2016-05,39
2016-06,47
2016-07,41
2016-08,55
2016-09,59
2016-10,44
2016-11,31
2016-12,43
2017-01,30
2017-02,24
2017-03,32
